buy_month	sell_month	pints_purchased	expected_profit
2025-06	2025-12	264760	157346.86800000013
2025-07	2025-12	262054	145518.58620000008
2025-08	2025-12	253356	107498.95080000014
2025-06	2025-11	271960	81859.96000000004
2025-07	2025-11	269106	70505.772
2025-10	2025-12	242836	61510.358800000075
2025-05	2025-12	241721	56635.23030000004
2025-08	2025-11	259942	34052.401999999944
2025-09	2025-12	235737	30480.79410000015
2025-10	2025-11	248880	-9955.199999999899
2025-05	2025-11	247708	-14614.77200000015
2025-06	2025-09	287604	-31406.356800000118
2025-09	2025-11	241429	-39594.356000000036
2025-07	2025-09	284414	-42150.15480000016
2025-04	2025-12	218531	-44733.29569999997
2025-06	2025-10	279563	-64523.14039999997
2025-11	2025-12	211864	-73876.97679999981
2025-07	2025-10	276548	-74612.65040000013
2025-08	2025-09	274197	-76555.80240000009
2025-03	2025-12	206526	-97211.78819999998
2025-08	2025-10	266880	-106965.50400000007
2025-06	2025-08	296120	-107994.964
2025-04	2025-11	223413	-111259.67399999996
2025-07	2025-08	292740	-118179.13800000005
2025-05	2025-09	260620	-122282.90400000007
2025-06	2025-07	305157	-144217.19819999998
2025-05	2025-10	254000	-150063.20000000004
2025-03	2025-11	210881	-161113.08399999994
2025-09	2025-10	247402	-172142.31159999993
2025-05	2025-08	267594	-193925.37179999996
2025-02	2025-12	183016	-199981.58319999996
2025-03	2025-04	247402	-203760.28719999996
2025-04	2025-09	233863	-212394.3766
2025-05	2025-07	274951	-228924.20260000008
2025-04	2025-10	228519	-235328.86620000005
2025-05	2025-06	282725	-242493.2325000001
2025-04	2025-05	257997	-248373.71190000008
2025-02	2025-11	186428	-258389.2080000001
2025-03	2025-09	220167	-258520.09139999998
2025-02	2025-03	219106	-262094.59720000005
2025-04	2025-08	239463	-278663.0931
2025-03	2025-10	215424	-279146.41920000006
2025-01	2025-02	186741	-283360.7933999999
2025-03	2025-05	241429	-296643.8123000001
2025-02	2025-04	214408	-309948.2048000001
2025-04	2025-07	245338	-311971.8008000001
2025-01	2025-12	157356	-312147.09719999996
2025-03	2025-08	225123	-321858.3531
2025-04	2025-06	251509	-326131.7203000001
2025-02	2025-09	193648	-347830.53760000016
2025-03	2025-07	230308	-354121.58080000005
2025-01	2025-11	159872	-364028.54399999994
2025-02	2025-10	189969	-364322.5482
2025-03	2025-06	235737	-368386.2099
2025-01	2025-03	183318	-382621.32960000006
2025-02	2025-05	209907	-388474.88490000006
2025-02	2025-08	197472	-405153.3024
2025-01	2025-04	180018	-420630.05879999994
2025-02	2025-07	201450	-435051.42000000004
2025-01	2025-09	165152	-443796.4544
2025-02	2025-06	205592	-449156.84240000014
2025-01	2025-10	162469	-456342.92720000003
2025-01	2025-05	176834	-484825.77780000004
2025-01	2025-08	167926	-494155.8402
2025-01	2025-07	170794	-521024.17640000005
2025-01	2025-06	173761	-534436.7077
