recipe_slug	score_bound
falafel	2.0397200698271996
spamburger	2.154586517442657
bacon-fried-rice	2.721939447420394
chicken-fingers	2.0221480629436837
apple-crisp	2.0342096546569604
cranberry-apple-crisp	2.069591062828741
bacon-chocolate-chip-cookies	1.7041321201295603
sujebi	2.075955508795053
pasta-primavera	2.0518547012950874
ramen	2.168288123674245
brownies	2.024589392551289
bacon-wrapped-scallops	1.769613730488696
bacon-egg-muffins	1.8103470878080516
breakfast-burritos	1.8475835205249023
bolognese-sauce	2.019840597115988
croissants	2.069618043508654
bacon-souffle	1.6334718877324592
souffle	2.0118035824898954
chocolate-souffle	1.76185489779683
butter-croissants	1.7710830755250955
pickled-green-beans	2.039805391221408
fried-oysters	2.011645797230234
peanut-butter-brownies	1.8847372256689927
almond-chip-cookies	1.9600430491600944
guacamole	2.13218839223297
brioche-bread	2.081335511347161
brioche-bread-with-chocolate	1.953508669253977
asparagus-quiche	2.1147299747598414
asparagus-burger	2.143290963218311
ma-la-chicken	2.1230442467841297
cold-noodles-with-tomatoes	2.138441235030175
tamales	2.121117853441632
enchiladas	2.0363210504507565
tacos	2.7483381256623742
burritos	2.05847700015086
peanut-butter-cupcakes	2.022610955676362
pickled-asparagus	1.960619400242552
chocolate-peanut-butter-cake	1.9335361372574313
udon	2.026658809372787
vegetable-lasagna	1.921256174344294
maple-bacon-donuts	1.7871574283363771
maple-bacon-pancakes	1.7490992574284707
spinach-and-ricotta-stuffed-shells	2.3161579026423413
quesadillas	2.1304609485749126
pico-de-gallo	2.0405912653286533
nachos	2.073880024469045
cold-soba-noodles-with-tomato-and-cucumber	2.0693269558308636
fajitas	2.1019249473951773
loaded-nachos	2.024487936615821
lasagna	1.9307088846063711
chicken-nuggets	2.0888868662175013
pain-au-chocolat	2.1289598714279703
nacho-dip	1.9856481619835624
nacho-salad	2.756686451222244
nacho-casserole	2.0125971732977086
nacho-fries	2.13985085072989
tempura-udon	2.0380612051139133
peach-crisp	1.9330508341616066
apple-pie	2.096095551971592
blueberry-crisp	1.8533005972727576
berry-crumble	1.7534519815834624
strawberry-rhubarb-crisp	2.10616237620215
peach-cobbler	1.9631704505311078
cranberry-sauce	2.036981177594815
cherry-cobbler	1.9180083535335437
apple-crumble	2.121669359468253
chocolate-croissants	1.8981121757445432
french-toast	1.9846172507031712
chocolate-babka	2.0967171698686187
cinnamon-babka	1.880070501937187
blueberry-crumble	1.815912986000444
spam-musubi	2.1022168305690156
taco-salad	2.7937841420599154
chiles-rellenos	2.019370965549071
almond-croissants	1.955581838426569
cranberry-relish	2.0369811775948143
ma-la-beef	2.0800151317927673
chocolate-cake	1.923813552460563
spinach-quiche	2.542315513659463
mushroom-quiche	2.190933012385047
quiche-lorraine	1.8021327733779025
croissant-aux-amandes	2.101677657491653
danishes	2.058419660154346
spinach-and-feta-quiche	2.702236195093556
cold-sesame-noodles	2.0609335283812484
soba-noodle-salad-with-peanut-dressing	2.6854736527926777
dan-dan-noodles	2.125937212990921
vanilla-souffle	2.0229679992215535
bacon-wrapped-dates	1.7500812628611808
cherry-pie	1.9678702442054317
berry-crisp	1.9095359922955026
bacon-and-egg-breakfast-sandwich	1.8057229660488967
bacon-wrapped-shrimp-skewers	1.827338416333703
bacon-wrapped-chicken	1.8526811659670208
bacon-wrapped-asparagus	1.8314699925455784
bacon-mac-and-cheese	1.8493553840683103
chicken-alfredo-lasagna	2.073922116008831
classic-beef-lasagna	1.98870869909379
vegetarian-mushroom-lasagna	2.3967556950609072
spinach-and-ricotta-lasagna	2.6603503773863584
