recipe_slug	score_estimate
falafel	0.2570007488263843
spamburger	0.24377665764727202
bacon-fried-rice	-0.017454545646743563
chicken-fingers	0.24264997465153423
apple-crisp	0.31170703078684625
cranberry-apple-crisp	0.26434280529587706
bacon-chocolate-chip-cookies	0.018144744091933524
sujebi	0.234992440314181
pasta-primavera	0.3478350528953963
ramen	0.2494048610582025
brownies	0.25156051831874715
bacon-wrapped-scallops	0.014673740275111164
bacon-egg-muffins	0.017322333770431023
breakfast-burritos	0.019729084124812977
bolognese-sauce	0.265270208006947
croissants	0.24667438959540236
bacon-souffle	0.05676897014627601
souffle	0.25522843744276813
chocolate-souffle	0.23177518780142767
butter-croissants	0.2667716463138942
pickled-green-beans	0.24504856758641586
fried-oysters	0.2386032994220712
peanut-butter-brownies	0.24553293472084808
almond-chip-cookies	0.23944825456129065
guacamole	0.2618004436335734
brioche-bread	0.23504604475797722
brioche-bread-with-chocolate	0.23859379147584572
asparagus-quiche	0.32030122858649923
asparagus-burger	0.27300725837585044
ma-la-chicken	0.24976061049029666
cold-noodles-with-tomatoes	0.25582412626348194
tamales	0.2482813216769581
enchiladas	0.24122566096233947
tacos	0.26454078067425496
burritos	0.2589936864108046
peanut-butter-cupcakes	0.2377334751282749
pickled-asparagus	0.209960548173998
chocolate-peanut-butter-cake	0.2528665692091854
udon	0.2738745784114581
vegetable-lasagna	0.4678843315129152
maple-bacon-donuts	0.01621259227319586
maple-bacon-pancakes	0.007203685425231671
spinach-and-ricotta-stuffed-shells	0.7663092059350172
quesadillas	0.2574111504360771
pico-de-gallo	0.2828655657933609
nachos	0.2531143851328612
cold-soba-noodles-with-tomato-and-cucumber	0.28207225563636923
fajitas	0.2526986236433121
loaded-nachos	0.23551157695774458
lasagna	0.264818951600012
chicken-nuggets	0.26076501450621176
pain-au-chocolat	0.2450583400804119
nacho-dip	0.24531126121003463
nacho-salad	0.9210452124646042
nacho-casserole	0.2708963161720492
nacho-fries	0.2918412237135545
tempura-udon	0.24861063166682565
peach-crisp	0.2926021768977761
apple-pie	0.8798671599156425
blueberry-crisp	0.302216059415659
berry-crumble	0.34912709549629467
strawberry-rhubarb-crisp	0.25383687806675437
peach-cobbler	0.24637805445861072
cranberry-sauce	0.24706098648667818
cherry-cobbler	0.24503005364669614
apple-crumble	0.26917584751479534
chocolate-croissants	0.27042440060874834
french-toast	0.2733102139487612
chocolate-babka	0.255325728673824
cinnamon-babka	0.29408600579394006
blueberry-crumble	0.2505974986774299
spam-musubi	0.2525174856250817
taco-salad	0.9348837130143849
chiles-rellenos	0.2561723435936051
almond-croissants	0.25064338504067807
cranberry-relish	0.24706098648667815
ma-la-beef	0.2610677100994346
chocolate-cake	0.24593305873833962
spinach-quiche	0.823842490468353
mushroom-quiche	0.316927504462196
quiche-lorraine	-0.015345029756157412
croissant-aux-amandes	0.25583297484154255
danishes	0.26793594020122763
spinach-and-feta-quiche	0.9300439226846267
cold-sesame-noodles	0.28075796382227575
soba-noodle-salad-with-peanut-dressing	0.9079868291703923
dan-dan-noodles	0.24312977979522568
vanilla-souffle	0.22999246982006583
bacon-wrapped-dates	0.04772864958933134
cherry-pie	0.2784337450995932
berry-crisp	0.7543080727360002
bacon-and-egg-breakfast-sandwich	0.01912172605449462
bacon-wrapped-shrimp-skewers	0.0016228423951570434
bacon-wrapped-chicken	-0.025301684395208173
bacon-wrapped-asparagus	0.028925187132521804
bacon-mac-and-cheese	0.013119033825712532
chicken-alfredo-lasagna	0.3130791006647299
classic-beef-lasagna	0.2808401670355318
vegetarian-mushroom-lasagna	0.8105790624942282
spinach-and-ricotta-lasagna	0.9708746192604221
