recipe_slug	score_bound	reward
apple-crumble	7.483314773547883	0.25
ma-la-chicken	7.209255444939295	0.25
quesadillas	7.166647088932123	0.25
ramen	7.1322070479787865	0.25
chocolate-babka	6.882143273516647	0.25
spamburger	6.87840657258877	0.25
pain-au-chocolat	6.844629195930841	0.25
bacon-fried-rice	6.808207166816686	0.0
nacho-fries	6.61574269835347	0.25
cranberry-sauce	6.568260789742566	0.25
asparagus-burger	6.469245531964126	0.25
strawberry-rhubarb-crisp	6.211089119418747	0.25
asparagus-quiche	6.207146589154286	0.25
guacamole	6.151453751564707	0.25
bacon-wrapped-asparagus	6.1183414878097055	0.0
apple-pie	6.087731393335889	1.0
cold-noodles-with-tomatoes	6.07242563439186	0.25
brioche-bread	5.977507803790821	0.25
tamales	5.942102390798659	0.25
dan-dan-noodles	5.937905370447449	0.25
mushroom-quiche	5.832073009997432	0.25
taco-salad	5.803100354703726	1.0
bacon-wrapped-chicken	5.736436133174226	0.0
cranberry-apple-crisp	5.73566812228372	0.25
tacos	5.622813344429724	0.25
spam-musubi	5.557574983809323	0.25
chicken-nuggets	5.5050670609272485	0.25
bacon-mac-and-cheese	5.478604591058778	0.0
fajitas	5.422296559530347	0.25
croissants	5.402435041328415	0.25
chocolate-peanut-butter-cake	5.370663395688266	0.25
nacho-salad	5.2743975000198065	1.0
croissant-aux-amandes	5.254644458469076	0.25
bacon-wrapped-shrimp-skewers	5.254332336610418	0.0
souffle	5.241141017507279	0.25
berry-crisp	5.182381849841729	1.0
sujebi	5.166625674803057	0.25
danishes	5.098057834658983	0.25
soba-noodle-salad-with-peanut-dressing	5.058848504582965	1.0
spinach-quiche	5.029518570071896	1.0
spinach-and-ricotta-lasagna	5.040789244918549	1.0
nachos	4.976290939342668	0.25
breakfast-burritos	4.941860626861855	0.0
cherry-pie	4.925537773260426	0.25
enchiladas	4.917789097731428	0.25
vanilla-souffle	4.889795563486552	0.25
apple-crisp	4.877559312242081	0.25
loaded-nachos	4.784006902030093	0.25
brownies	4.753542791931962	0.25
quiche-lorraine	4.722712953274247	0.0
udon	4.7204178730666175	0.25
ma-la-beef	4.671199930110867	0.25
spinach-and-feta-quiche	4.574232833502712	1.0
cold-soba-noodles-with-tomato-and-cucumber	4.517096341285665	0.25
brioche-bread-with-chocolate	4.514454099313827	0.25
bolognese-sauce	4.504466978583769	0.25
chiles-rellenos	4.494422409430144	0.25
pickled-green-beans	4.49194857591725	0.25
cold-sesame-noodles	4.4647806305192	0.25
burritos	4.450259343353082	0.25
bacon-egg-muffins	4.4256678718414335	0.0
peanut-butter-cupcakes	4.407206006877632	0.25
chicken-alfredo-lasagna	4.404917142160892	0.25
chicken-fingers	4.353004489233979	0.25
bacon-wrapped-scallops	4.33254478293678	0.0
peach-crisp	4.274308741468714	0.25
cranberry-relish	4.268940029967647	0.25
tempura-udon	4.254459317030241	0.25
falafel	4.2179095883000075	0.25
almond-croissants	4.201453449729413	0.25
bacon-and-egg-breakfast-sandwich	4.184816210127273	0.0
pasta-primavera	4.127620244304793	0.25
maple-bacon-donuts	4.118541862411557	0.0
pico-de-gallo	4.093580203275943	0.25
fried-oysters	4.063298489737318	0.25
almond-chip-cookies	4.052675732021439	0.25
nacho-casserole	4.000933040614966	0.25
nacho-dip	3.9604053359795905	0.25
french-toast	3.9497020042418773	0.25
peach-cobbler	3.8687944115203488	0.25
classic-beef-lasagna	3.805937296887409	0.25
maple-bacon-pancakes	3.7523401010949913	0.0
pickled-asparagus	3.7346739417364048	0.25
bacon-wrapped-dates	3.695299655870588	0.0
blueberry-crumble	3.6776745974931386	0.25
chocolate-croissants	3.6155493949543294	0.25
chocolate-cake	3.3753918606008724	0.25
lasagna	3.3588396885610914	0.25
bacon-chocolate-chip-cookies	3.323892280641252	0.0
vegetarian-mushroom-lasagna	3.2761160723432106	1.0
cherry-cobbler	3.2474928394037117	0.25
cinnamon-babka	3.187422113548013	0.25
peanut-butter-brownies	3.1626054499828906	0.25
spinach-and-ricotta-stuffed-shells	3.156508194625795	1.0
blueberry-crisp	3.0917210773632657	0.25
vegetable-lasagna	2.8787793787374563	0.25
taco-salad	2.7766549978510513	1.0
nacho-salad	2.7486539669148495	1.0
berry-crumble	2.7390300888479024	0.25
apple-pie	2.733408286952358	1.0
