state	action
0	-1
1	-1
10	-1
100	-1
1004	-1
1012	-1
1016	-1
1017	-1
1018	-1
1019	-1
1024	-1
1025	1
1026	-1
1027	0
1028	0
1029	-1
1030	-1
1031	-1
1033	-1
1058	1
106	-1
1061	-1
1067	-1
1068	-1
107	-1
1070	-1
108	-1
1085	-1
1088	-1
1089	-1
1090	-1
1091	-1
1092	-1
1093	1
1094	-1
1095	-1
1097	-1
1102	1
1112	-1
1124	-1
113	-1
114	-1
1141	-1
1144	-1
1145	-1
1146	-1
1147	-1
1148	-1
1149	-1
115	-1
1150	-1
1151	-1
1156	-1
1157	-1
1158	-1
1159	-1
116	-1
1162	0
1168	-1
117	-1
1170	1
1179	-1
1196	-1
120	0
1205	-1
121	-1
1214	-1
122	-1
1224	-1
123	-1
1232	0
1237	1
124	-1
1247	1
125	-1
126	-1
1261	-1
127	-1
1270	-1
1272	-1
1279	-1
1284	0
1285	-1
1286	-1
1291	-1
1303	-1
131	-1
1315	1
132	-1
1324	0
133	-1
1333	-1
134	-1
135	-1
1359	-1
136	-1
1360	-1
1373	0
1382	-1
1383	-1
1390	1
1398	0
1407	-1
1411	0
1413	-1
1422	-1
144	-1
1444	-1
1461	-1
1469	0
1478	-1
1495	-1
1502	1
1517	1
1526	-1
154	-1
1540	-1
1581	-1
1586	-1
1588	1
1593	0
1605	0
161	-1
1614	-1
1657	-1
1658	-1
1668	0
1674	-1
1681	-1
17	1
1707	-1
1717	0
1725	-1
1729	1
1732	1
1738	-1
1745	-1
1779	-1
1784	-1
1785	-1
1786	-1
179	-1
1795	-1
1796	0
1802	-1
1809	-1
181	-1
1816	-1
1836	-1
1844	1
1852	1
1859	-1
1860	0
1866	-1
1869	-1
1873	-1
1878	-1
1880	-1
190	-1
1908	-1
1912	-1
1913	-1
1914	-1
1915	-1
1919	-1
192	-1
1920	-1
1921	-1
1922	-1
1923	-1
1924	-1
1925	-1
1926	-1
1927	-1
1928	-1
1929	-1
1933	-1
1934	-1
1935	-1
1936	-1
1942	-1
1943	-1
1944	-1
1951	-1
1973	-1
1981	-1
1982	-1
1984	-1
1985	-1
1986	-1
1987	-1
1988	-1
1989	-1
199	1
1990	-1
1991	-1
1992	-1
1993	-1
1997	-1
1998	-1
1999	-1
2	-1
200	-1
2000	-1
2006	-1
2007	-1
2008	-1
2013	1
2015	-1
2022	-1
2030	0
2038	0
2040	-1
2041	-1
2042	-1
2043	-1
2044	-1
2045	-1
2046	0
2047	-1
208	0
216	-1
237	-1
246	-1
248	-1
260	-1
261	-1
262	-1
271	-1
279	-1
296	0
3	-1
308	-1
312	0
327	1
335	-1
336	-1
351	0
383	-1
389	-1
390	-1
398	-1
4	-1
424	1
43	-1
44	-1
440	0
445	-1
454	-1
471	1
495	-1
5	-1
50	-1
502	1
51	-1
52	-1
553	-1
568	1
57	-1
58	0
584	-1
599	0
6	-1
60	1
606	1
61	-1
614	0
64	-1
65	-1
650	0
658	0
66	-1
666	-1
67	-1
673	0
674	-1
68	-1
681	0
688	1
69	-1
697	-1
698	-1
7	-1
70	-1
705	-1
71	-1
719	1
73	-1
74	-1
754	-1
761	-1
762	-1
771	-1
787	-1
795	-1
809	1
81	-1
817	0
818	-1
819	-1
825	-1
832	0
840	-1
842	-1
849	-1
874	-1
875	-1
881	0
883	-1
888	1
889	-1
890	-1
9	-1
900	-1
907	0
924	-1
939	-1
946	-1
948	-1
951	-1
953	-1
958	1
960	0
963	-1
970	-1
975	1
977	-1
984	0
99	-1
995	-1
