index	return	risk	AAPL	MSFT	AMZN	GOOGL	SPY	TSLA
0	0.015454	0.037102	0.132581	0.000000	0.000000	0.119766	0.747652	0.000000
1	0.015555	0.037105	0.122829	0.000000	0.000000	0.120322	0.756849	0.000000
2	0.015657	0.037116	0.113077	0.000000	0.000000	0.120877	0.766046	0.000000
3	0.015758	0.037134	0.103324	0.000000	0.000000	0.121433	0.775243	0.000000
4	0.015859	0.037159	0.093572	0.000000	0.000000	0.121989	0.784440	0.000000
5	0.015960	0.037191	0.083819	0.000000	0.000000	0.122544	0.793636	0.000000
6	0.016062	0.037231	0.074067	0.000000	0.000000	0.123100	0.802833	0.000000
7	0.016163	0.037277	0.064314	0.000000	0.000000	0.123656	0.812030	0.000000
8	0.016264	0.037331	0.054562	0.000000	0.000000	0.124211	0.821227	0.000000
9	0.016365	0.037392	0.044810	0.000000	0.000000	0.124767	0.830423	0.000000
10	0.016467	0.037460	0.035057	0.000000	0.000000	0.125323	0.839620	0.000000
11	0.016568	0.037534	0.025305	0.000000	0.000000	0.125878	0.848817	0.000000
12	0.016669	0.037616	0.015552	0.000000	0.000000	0.126434	0.858014	0.000000
13	0.016770	0.037705	0.005839	0.000058	0.000000	0.126982	0.867121	0.000000
14	0.016872	0.037799	0.000000	0.005827	0.000000	0.126776	0.867397	0.000000
15	0.016973	0.037901	0.000000	0.020110	0.000000	0.126151	0.853739	0.000000
16	0.017074	0.038015	0.000000	0.034393	0.000000	0.125526	0.840081	0.000000
17	0.017175	0.038139	0.000000	0.048676	0.000000	0.124901	0.826422	0.000000
18	0.017277	0.038273	0.000000	0.062960	0.000000	0.124276	0.812764	0.000000
19	0.017378	0.038419	0.000000	0.077243	0.000000	0.123652	0.799106	0.000000
20	0.017479	0.038574	0.000000	0.091526	0.000000	0.123027	0.785447	0.000000
21	0.017580	0.038740	0.000000	0.105809	0.000000	0.122402	0.771789	0.000000
22	0.017682	0.038917	0.000000	0.120092	0.000000	0.121777	0.758131	0.000000
23	0.017783	0.039103	0.000000	0.134375	0.000000	0.121152	0.744472	0.000000
24	0.017884	0.039299	0.000000	0.148659	0.000000	0.120527	0.730814	0.000000
25	0.017985	0.039505	0.000000	0.162942	0.000000	0.119903	0.717156	0.000000
26	0.018087	0.039720	0.000000	0.177225	0.000000	0.119278	0.703497	0.000000
27	0.018188	0.039945	0.000000	0.191508	0.000000	0.118653	0.689839	0.000000
28	0.018289	0.040180	0.000000	0.203182	0.002153	0.117500	0.677164	0.000000
29	0.018390	0.040419	0.000000	0.208071	0.009906	0.114974	0.667049	0.000000
30	0.018492	0.040663	0.000000	0.212959	0.017659	0.112448	0.656934	0.000000
