date	AAPL	MSFT	AMZN	GOOGL	SPY	TSLA
2023-09-30	-0.088686	-0.036638	-0.078907	-0.039007	-0.047416	-0.030456
2023-10-31	-0.002595	0.070822	0.046963	-0.051814	-0.021729	-0.197346
2023-11-30	0.113831	0.122940	0.097678	0.068104	0.091367	0.195379
2023-12-31	0.013538	-0.007566	0.040044	0.054046	0.045636	0.034988
2024-01-31	-0.042219	0.057272	0.021456	0.002881	0.015927	-0.246257
2024-02-29	-0.018540	0.042322	0.138918	-0.011705	0.052202	0.077901
2024-03-31	-0.051265	0.017112	0.020480	0.090097	0.032687	-0.129235
2024-04-30	-0.006696	-0.074601	-0.029826	0.078518	-0.040313	0.042608
2024-05-31	0.130203	0.068201	0.008229	0.059700	0.050586	-0.028372
2024-06-30	0.095532	0.076635	0.095273	0.057153	0.035284	0.111186
2024-07-31	0.054441	-0.063976	-0.032445	-0.058256	0.012092	0.172781
2024-08-31	0.032337	-0.001110	-0.045352	-0.047566	0.023381	-0.077390
2024-09-30	0.017461	0.031544	0.043866	0.016483	0.020997	0.221942
2024-10-31	-0.030442	-0.055656	0.000376	0.031706	-0.008919	-0.045025
2024-11-30	0.051721	0.044208	0.115290	-0.012609	0.059623	0.381469
2024-12-31	0.055140	-0.004630	0.055318	0.121703	-0.024055	0.170008
2025-01-31	-0.057548	-0.015291	0.083368	0.077787	0.026862	0.001882
2025-02-28	0.025854	-0.041619	-0.106866	-0.165373	-0.012704	-0.275877
2025-03-31	-0.081492	-0.054397	-0.103731	-0.090829	-0.055718	-0.115435
2025-04-30	-0.043368	0.052928	-0.030695	0.026934	-0.008660	0.088748
2025-05-31	-0.053590	0.166823	0.111647	0.081458	0.062831	0.227885
2025-06-30	0.021533	0.080483	0.070143	0.027400	0.051391	-0.083126
2025-07-31	0.011662	0.072555	0.067095	0.088918	0.023031	-0.029560
